Publication Number,Title,Label
US9040302B2,Genetically modified Streptococcus thermophilus bacterium,Non-Alchohol
US9040109B2,"Cross-linked biopolymers, related compositions and methods of use",Non-Alchohol
US9040107B2,Method for making a high-protein dairy product,Non-Alchohol
US9040036B2,Compositions for probiotic recolonisation therapy,Non-Alchohol
US9038991B2,Modular electronic carbonator fluid level control mechanism,Non-Alchohol
US9034404B2,Bottled beverage comprising cap containing dietary supplement and bottle filled with dispersion medium for dietary supplement,Non-Alchohol
US9034402B2,Protein hydrolysate compositions having improved sensory characteristics and physical properties,Non-Alchohol
US9033315B2,Adjustable in-line on demand carbonation chamber for beverage applications,Non-Alchohol
US9028904B2,"Method of preparing soybean mixed powder, method of preparing a solidified soybean food, and a method of preparing a packaged raw material for preparing a solidified soybean food",Non-Alchohol
US9028896B2,Production of cottage cheese by using Streptococcus thermophilus,Non-Alchohol
US9028886B2,Degradation inhibitor for flavor or aroma,Non-Alchohol
US9027472B2,"Machine having an improved blade structure, for extracting puree or juice",Non-Alchohol
US9027463B2,Method and apparatus for beverage formation with reservoir access control,Non-Alchohol
US9023616B2,Oil producing microbes and method of modification thereof,Non-Alchohol
US20150125253A1,Method and system for processing glacial water,Non-Alchohol
US9017741B2,"Water soluble defructosylated pea extract, and use thereof as a prebiotic agent",Non-Alchohol
US9016196B2,Compact juicer,Non-Alchohol
US9014846B2,Systems and methods for providing portion control programming in a product forming dispenser,Non-Alchohol
US9012510B2,Oleoylethanolamide based functional mesophases,Non-Alchohol
US9012509B2,Method of treating non-alcoholic steatohepatitis,Non-Alchohol
US9011948B2,Enzyme preparations yielding a clean taste,Non-Alchohol
US9010577B2,Beverage dispensing system using highly concentrated beverage syrup,Non-Alchohol
US9005687B2,Methods for reducing soluble metal ions in diatomaceous earth filter aids,Non-Alchohol
US9005682B2,Synbiotic mixture,Non-Alchohol
US9005190B2,Treatment of non-alcoholic fatty liver disease,Non-Alchohol
US9004744B1,Fluid mixer using countercurrent injection,Non-Alchohol
US8999645B2,Bioreactors comprising fungal strains,Non-Alchohol
US8999424B2,Performance enhancing composition and method of delivering nutrients,Non-Alchohol
US8997633B2,"Air agitation controllable beverage making apparatus, system and method",Non-Alchohol
US8996178B2,System and method for managing the generation of brewed beverages using shared resources,Non-Alchohol
US8993033B2,Edible energy composition with low caffeine,Non-Alchohol
US8993032B2,Protein recovery beverage,Non-Alchohol
US8993024B2,Food or drink and method of production thereof,Non-Alchohol
US8993017B2,Animal feed compositions and processes for producing,Non-Alchohol
US8993016B2,"Flavor enhancer for food or drink, production method thereof, and food or drink comprising flavor enhancer",Non-Alchohol
US8993005B2,Food compositions comprising lemon balm extracts,Non-Alchohol
US8986773B2,"Process for the preparation of packaged heat-preserved aqueous drink comprising casein micelles and tryptophan-rich peptides, and product so obtained",Non-Alchohol
US8986766B2,Mixing and dispensing apparatus with movable mixing chamber,Non-Alchohol
US8986762B2,Capsule with flow control and filtering member,Non-Alchohol
US8986760B2,Method of enhancing the shelf stability of probiotics,Non-Alchohol
US8986682B2,Method to increase the absorption of unsaturated fatty acids by human infants,Non-Alchohol
US8980352B2,Control of flavor characteristics of and indicator of freshness in fruit juice,Non-Alchohol
US8980350B2,Fried food products having reduced fat content,Non-Alchohol
US8980348B2,Drink flavouring straw,Non-Alchohol
US8978928B2,"Apparatus for producing a drink, and the use of the apparatus",Non-Alchohol
US8974840B2,Milk-fermented product and use thereof,Non-Alchohol
US8969523B2,"Sebum secretion-blocking composition, and food or beverage containing same",Non-Alchohol
US8962700B2,Electrokinetically-altered fluids comprising charge-stabilized gas-containing nanostructures,Non-Alchohol
US8962678B2,Senescence inhibitor,Non-Alchohol
US8962052B2,Carbonated beverages,Non-Alchohol
US8960999B1,System for mixing beverages and method of doing the same,Non-Alchohol
US8960500B2,Dispenser for beverages including juices,Non-Alchohol
US8960084B2,Juice extractor with a temperature displaying function,Non-Alchohol
US8960077B2,Double piston apparatus for controlling the preparation of beverages,Non-Alchohol
US8957109B2,"Chroman derivatives, medicaments and use in therapy",Non-Alchohol
US8956670B2,Method for the control of the formation of acrylamide in a foodstuff,Non-Alchohol
US8951980B2,Adenovirus Ad36 E4 orf1 protein for prevention and treatment of non-alcoholic fatty liver disease,Non-Alchohol
US8950318B2,Brewer system with active brewing mechanism and buffer reservoir piston compression of brewing substance,Non-Alchohol
US8945656B2,Jamun juice composition and a process thereof,Non-Alchohol
US8945655B2,Stable and consumable compositions,Non-Alchohol
US8945645B2,Method for simultaneous concentration and rectification of grape must using nanofiltration and electrodialysis,Non-Alchohol
US20150110931A1,Beverage dispensing system with automated water filter recommendation,Non-Alchohol
US8943952B2,Brewer including substance removal assembly,Non-Alchohol
US8940353B2,Non-dairy beverage composition,Non-Alchohol
US8939070B2,Juicer,Non-Alchohol
US20150132383A1,"Phytases, nucleic acids encoding them and methods for making and using them",Non-Alchohol
US8936818B2,Compositions and methods using pomegranate extracts,Non-Alchohol
US8936783B2,Use of Lactobacillus for treatment of autoimmune diseases,Non-Alchohol
US8932841B2,Thermophilic microorganisms for ethanol production,Non-Alchohol
US8932647B1,Functional beverage composition,Non-Alchohol
US8932549B2,Sulfur containing silica particle,Non-Alchohol
US8931398B2,Modular infuser with continuous filter belt,Non-Alchohol
US20150086491A1,"Use of physiological cooling active ingredients, and agents containing such active ingredients",Non-Alchohol
US8926960B2,Growth inhibition and elimination of methicillin-resistant Staphylococcus aureus by lactic acid bacteria,Non-Alchohol
US20150147452A1,"Soy protein product with neutral or near neutral ph (""s701n2"")",Non-Alchohol
US20150147438A1,Food product with filling with high amount of live lactic cultures,Non-Alchohol
US20150147430A1,Adapters for consumable product packages and methods for using same,Non-Alchohol
US20150143832A1,Curd maker and refrigerator having the same,Non-Alchohol
US20150141712A1,Process for the preparation of benzonorbornenes,Non-Alchohol
US20150136638A1,Method for preparing a syrupy product comprising vitamins,Non-Alchohol
US20150132467A1,Ready to drink beverages and methods of making thereof,Non-Alchohol
US20150132440A1,Dipeptide and tripeptide compositions and uses,Non-Alchohol
US20150132270A1,Strains of lactobacillus with antifungal properties,Non-Alchohol
US20150125587A1,Carbonated coffee beverage,Non-Alchohol
US20150125571A1,Fermented dairy products containing sweetener and flavor modifier derived from stevia and methods of producing same,Non-Alchohol
US20150125503A1,Variants of the Lantibiotic MU1140 and Other Lantibiotics with Improved Pharmacological Properties and Structural Features,Non-Alchohol
US20150110943A1,Process of Preparing Fresh Unpasteurized Juice,Non-Alchohol
US20150110926A1,Salt substitute,Non-Alchohol
US20150110838A1,Compositions and methods for treating crohn's disease and related conditions and infections,Non-Alchohol
US20150109876A1,Mixing apparatus,Non-Alchohol
US20150104545A1,Hybrid coacervate capsules,Non-Alchohol
US20150104540A1,Systems and methods for producing fermented milk replacer and methods of feeding same to animals,Non-Alchohol
US20150099273A1,Bacterium,Non-Alchohol
US20150099048A1,Methods for producing maple sap water,Non-Alchohol
US20150099037A1,Steeped Cocoa Compositions and Functional Cocoa Beverages Made from Them,Non-Alchohol
US20150098929A1,Probiotic Formulation,Non-Alchohol
US20150094355A1,"MODULATION OF NLGn4 EXPRESSION, NK CELL ACTIVITY IN NON-ALCOHOLIC FATTY LIVER DISEASE (NAFLD)",Non-Alchohol
US20150064158A1,Sense-improving agent,Non-Alchohol
US20150064151A1,Circadian rhythm-improving agent,Non-Alchohol
US20150064112A1,Use of t1r3 venus flytrap region polypeptide to screen for taste modualtors,Non-Alchohol
US20150060482A1,Automated dispenser and method for dispensing,Non-Alchohol
US20150051143A1,Compositions and methods for treating non-alcoholic steatohepatitis,Non-Alchohol
US20150050413A1,Beverages including solid particulate matter,Non-Alchohol
